,sample,group,donor,treatment
T1-1A.trim.fastq_bracken,T1-1A,T1,T1-1,1.5R
PLA-6H.trim.fastq_bracken,PLA-6H,PLA,PLA-6,Placebo
PLA-6G.trim.fastq_bracken,PLA-6G,PLA,PLA-6,Placebo
PLA-6F.trim.fastq_bracken,PLA-6F,PLA,PLA-6,Placebo
PLA-6E.trim.fastq_bracken,PLA-6E,PLA,PLA-6,Placebo
PLA-6D.trim.fastq_bracken,PLA-6D,PLA,PLA-6,Placebo
PLA-6C.trim.fastq_bracken,PLA-6C,PLA,PLA-6,Placebo
PLA-6B.trim.fastq_bracken,PLA-6B,PLA,PLA-6,Placebo
PLA-6A.trim.fastq_bracken,PLA-6A,PLA,PLA-6,Placebo
PLA-5H.trim.fastq_bracken,PLA-5H,PLA,PLA-5,Placebo
PLA-5G.trim.fastq_bracken,PLA-5G,PLA,PLA-5,Placebo
PLA-5F.trim.fastq_bracken,PLA-5F,PLA,PLA-5,Placebo
PLA-5E.trim.fastq_bracken,PLA-5E,PLA,PLA-5,Placebo
PLA-5D.trim.fastq_bracken,PLA-5D,PLA,PLA-5,Placebo
PLA-5C.trim.fastq_bracken,PLA-5C,PLA,PLA-5,Placebo
PLA-5B.trim.fastq_bracken,PLA-5B,PLA,PLA-5,Placebo
PLA-5A.trim.fastq_bracken,PLA-5A,PLA,PLA-5,Placebo
PLA-4H.trim.fastq_bracken,PLA-4H,PLA,PLA-4,Placebo
PLA-4G.trim.fastq_bracken,PLA-4G,PLA,PLA-4,Placebo
PLA-4F.trim.fastq_bracken,PLA-4F,PLA,PLA-4,Placebo
PLA-4E.trim.fastq_bracken,PLA-4E,PLA,PLA-4,Placebo
PLA-4D.trim.fastq_bracken,PLA-4D,PLA,PLA-4,Placebo
PLA-4C.trim.fastq_bracken,PLA-4C,PLA,PLA-4,Placebo
PLA-4B.trim.fastq_bracken,PLA-4B,PLA,PLA-4,Placebo
PLA-4A.trim.fastq_bracken,PLA-4A,PLA,PLA-4,Placebo
PLA-3H.trim.fastq_bracken,PLA-3H,PLA,PLA-3,Placebo
PLA-3G.trim.fastq_bracken,PLA-3G,PLA,PLA-3,Placebo
PLA-3F.trim.fastq_bracken,PLA-3F,PLA,PLA-3,Placebo
PLA-3E.trim.fastq_bracken,PLA-3E,PLA,PLA-3,Placebo
PLA-3D.trim.fastq_bracken,PLA-3D,PLA,PLA-3,Placebo
PLA-3C.trim.fastq_bracken,PLA-3C,PLA,PLA-3,Placebo
PLA-3B.trim.fastq_bracken,PLA-3B,PLA,PLA-3,Placebo
PLA-3A.trim.fastq_bracken,PLA-3A,PLA,PLA-3,Placebo
PLA-2H.trim.fastq_bracken,PLA-2H,PLA,PLA-2,Placebo
PLA-2G.trim.fastq_bracken,PLA-2G,PLA,PLA-2,Placebo
PLA-2F.trim.fastq_bracken,PLA-2F,PLA,PLA-2,Placebo
PLA-2E.trim.fastq_bracken,PLA-2E,PLA,PLA-2,Placebo
PLA-2D.trim.fastq_bracken,PLA-2D,PLA,PLA-2,Placebo
PLA-2C.trim.fastq_bracken,PLA-2C,PLA,PLA-2,Placebo
PLA-2B.trim.fastq_bracken,PLA-2B,PLA,PLA-2,Placebo
PLA-2A.trim.fastq_bracken,PLA-2A,PLA,PLA-2,Placebo
PLA-1H.trim.fastq_bracken,PLA-1H,PLA,PLA-1,Placebo
PLA-1G.trim.fastq_bracken,PLA-1G,PLA,PLA-1,Placebo
PLA-1F.trim.fastq_bracken,PLA-1F,PLA,PLA-1,Placebo
PLA-1E.trim.fastq_bracken,PLA-1E,PLA,PLA-1,Placebo
PLA-1D.trim.fastq_bracken,PLA-1D,PLA,PLA-1,Placebo
PLA-1C.trim.fastq_bracken,PLA-1C,PLA,PLA-1,Placebo
PLA-1B.trim.fastq_bracken,PLA-1B,PLA,PLA-1,Placebo
PLA-1A.trim.fastq_bracken,PLA-1A,PLA,PLA-1,Placebo
